,Conf 1,Conf 2,Conf 3,Conf 4,Conf 5,Conf 6,Conf 7
run 1,0.66913,0.963711,0.550955,1.40866,1.02429,1.36748,0.913321
run 2,1.04323,1.61837,0.963626,1.17139,0.847689,0.922129,0.985238
run 3,0.946903,0.871784,1.27456,0.76965,0.879768,0.923582,0.790512
run 4,0.741096,0.86656,0.961933,0.971324,0.905765,0.787654,0.784846
run 5,1.0722,1.50218,0.842618,1.26565,1.0905,1.16699,1.07147
run 6,0.562237,0.892652,0.979586,1.03718,0.877528,1.21389,0.568536
run 7,1.41205,1.87526,0.994864,1.16987,0.968018,1.24495,1.35719
run 8,1.01443,0.809702,0.909322,1.01793,1.11154,1.02229,0.90266
run 9,1.02804,0.744402,0.926764,0.869764,0.836107,1.11882,1.12733
run 10,1.12878,1.1085,1.13224,1.28225,1.17318,1.33639,1.0532
run 11,0.927265,1.40966,0.870483,1.08593,0.959632,0.591301,0.71463
run 12,0.916944,1.21791,1.06885,1.10586,1.08931,1.23184,1.11265
run 13,0.919779,1.22881,0.993299,0.97836,0.776244,0.850634,1.07219
run 14,0.847056,0.982941,0.777853,1.02342,0.928963,0.815917,0.864438
run 15,1.31135,1.32786,1.27849,1.35548,1.26579,1.19737,0.948828
run 16,0.64414,1.47505,0.568536,1.17843,0.947441,0.85496,1.03529
run 17,1.09496,1.00443,1.15821,1.35123,1.0954,1.17499,1.12588
run 18,0.891765,1.19705,0.928284,0.817501,0.847494,0.852965,1.04463
run 19,0.86656,0.987184,1.16772,0.954033,0.800049,0.85512,0.763581
run 20,1.00879,1.25148,1.2022,1.30853,1.19483,1.22845,1.10842
run 21,0.673062,1.12703,0.829879,0.885399,0.858125,1.0506,0.568536
run 22,0.9919,1.31389,1.03094,1.19196,1.02844,1.10338,1.09646
run 23,0.90928,1.08867,0.776244,0.844064,0.842892,1.22474,0.856682
run 24,0.856525,1.00032,0.847056,0.908108,0.953021,0.829175,1.02459
run 25,1.11652,1.07923,1.04088,1.17755,1.25743,1.01738,0.83057
